Confusion Matrix: 

               Model Prediction
                   pos neg
Actual label: pos [797 356]
Actual label: neg [407 823]

Recall: 0.6798153587914394
Precision: 0.680587722252809
F1 Measure: 0.6798901322789679
Accuracy: 0.6798153587914394

Data format:
INDEX_OF_CLASS , PREDICTED CLASS, ACTUAL CLASS

9531 , neg , neg
9532 , pos , pos
9533 , neg , neg
9534 , pos , pos
9535 , pos , pos
9536 , neg , neg
9537 , pos , pos
9538 , pos , neg
9539 , pos , neg
9540 , neg , neg
9541 , neg , neg
9542 , pos , pos
9543 , neg , neg
9544 , neg , neg
9545 , neg , pos
9546 , pos , pos
9547 , pos , pos
9548 , pos , pos
9549 , pos , neg
9550 , neg , pos
9551 , neg , pos
9552 , pos , pos
9553 , pos , neg
9554 , pos , pos
9555 , neg , neg
9556 , neg , pos
9557 , pos , pos
9558 , neg , neg
9559 , pos , pos
9560 , pos , pos
9561 , pos , pos
9562 , neg , pos
9563 , pos , pos
9564 , neg , neg
9565 , pos , pos
9566 , neg , pos
9567 , neg , pos
9568 , neg , neg
9569 , neg , neg
9570 , neg , neg
9571 , pos , neg
9572 , pos , neg
9573 , neg , neg
9574 , pos , pos
9575 , neg , pos
9576 , neg , pos
9577 , neg , neg
9578 , neg , neg
9579 , pos , neg
9580 , pos , pos
9581 , pos , pos
9582 , pos , neg
9583 , neg , pos
9584 , neg , neg
9585 , pos , neg
9586 , neg , pos
9587 , pos , pos
9588 , neg , neg
9589 , neg , pos
9590 , neg , neg
9591 , pos , neg
9592 , pos , neg
9593 , neg , neg
9594 , pos , neg
9595 , pos , neg
9596 , pos , neg
9597 , pos , neg
9598 , pos , pos
9599 , pos , neg
9600 , pos , pos
9601 , neg , neg
9602 , pos , pos
9603 , neg , neg
9604 , neg , neg
9605 , pos , pos
9606 , neg , neg
9607 , pos , pos
9608 , pos , pos
9609 , neg , neg
9610 , pos , pos
9611 , neg , neg
9612 , pos , neg
9613 , neg , neg
9614 , pos , pos
9615 , neg , neg
9616 , neg , neg
9617 , neg , pos
9618 , pos , pos
9619 , neg , pos
9620 , pos , neg
9621 , pos , pos
9622 , neg , pos
9623 , neg , neg
9624 , neg , neg
9625 , neg , pos
9626 , pos , pos
9627 , neg , neg
9628 , neg , neg
9629 , neg , neg
9630 , neg , pos
9631 , neg , neg
9632 , neg , neg
9633 , pos , neg
9634 , neg , neg
9635 , pos , neg
9636 , pos , neg
9637 , neg , neg
9638 , neg , pos
9639 , pos , pos
9640 , pos , neg
9641 , neg , neg
9642 , pos , pos
9643 , pos , pos
9644 , neg , pos
9645 , pos , pos
9646 , neg , pos
9647 , neg , neg
9648 , pos , pos
9649 , pos , pos
9650 , neg , neg
9651 , neg , neg
9652 , neg , pos
9653 , neg , neg
9654 , neg , neg
9655 , pos , neg
9656 , pos , neg
9657 , neg , pos
9658 , neg , pos
9659 , pos , neg
9660 , pos , pos
9661 , neg , neg
9662 , neg , pos
9663 , pos , pos
9664 , neg , neg
9665 , neg , neg
9666 , neg , pos
9667 , neg , neg
9668 , pos , pos
9669 , pos , neg
9670 , pos , pos
9671 , neg , pos
9672 , neg , pos
9673 , pos , neg
9674 , neg , neg
9675 , neg , neg
9676 , pos , neg
9677 , neg , pos
9678 , pos , pos
9679 , neg , neg
9680 , neg , pos
9681 , neg , neg
9682 , pos , neg
9683 , pos , pos
9684 , neg , neg
9685 , neg , neg
9686 , pos , pos
9687 , pos , pos
9688 , pos , pos
9689 , pos , neg
9690 , neg , pos
9691 , pos , pos
9692 , neg , pos
9693 , neg , neg
9694 , pos , neg
9695 , pos , pos
9696 , pos , pos
9697 , neg , neg
9698 , neg , neg
9699 , neg , neg
9700 , neg , neg
9701 , neg , pos
9702 , pos , pos
9703 , neg , neg
9704 , neg , neg
9705 , pos , pos
9706 , neg , pos
9707 , pos , pos
9708 , neg , neg
9709 , pos , pos
9710 , neg , pos
9711 , neg , pos
9712 , pos , neg
9713 , pos , neg
9714 , pos , pos
9715 , neg , neg
9716 , neg , neg
9717 , pos , pos
9718 , neg , neg
9719 , pos , pos
9720 , neg , neg
9721 , neg , neg
9722 , pos , neg
9723 , neg , neg
9724 , pos , neg
9725 , neg , neg
9726 , neg , neg
9727 , pos , pos
9728 , neg , neg
9729 , pos , pos
9730 , pos , pos
9731 , pos , neg
9732 , pos , pos
9733 , neg , neg
9734 , pos , pos
9735 , pos , pos
9736 , pos , neg
9737 , neg , neg
9738 , pos , pos
9739 , neg , neg
9740 , pos , pos
9741 , neg , pos
9742 , pos , pos
9743 , neg , neg
9744 , pos , pos
9745 , pos , pos
9746 , neg , neg
9747 , pos , pos
9748 , pos , neg
9749 , pos , pos
9750 , neg , neg
9751 , neg , neg
9752 , pos , pos
9753 , neg , neg
9754 , pos , pos
9755 , neg , pos
9756 , neg , neg
9757 , pos , neg
9758 , neg , neg
9759 , pos , pos
9760 , neg , neg
9761 , pos , neg
9762 , pos , neg
9763 , pos , neg
9764 , pos , pos
9765 , neg , neg
9766 , neg , neg
9767 , pos , pos
9768 , pos , pos
9769 , pos , pos
9770 , pos , neg
9771 , pos , pos
9772 , neg , neg
9773 , neg , neg
9774 , pos , neg
9775 , neg , pos
9776 , neg , neg
9777 , neg , neg
9778 , pos , pos
9779 , pos , pos
9780 , pos , neg
9781 , pos , pos
9782 , pos , neg
9783 , neg , neg
9784 , neg , neg
9785 , pos , pos
9786 , pos , pos
9787 , pos , neg
9788 , neg , pos
9789 , neg , neg
9790 , neg , neg
9791 , neg , neg
9792 , neg , neg
9793 , neg , pos
9794 , pos , pos
9795 , neg , pos
9796 , neg , neg
9797 , neg , neg
9798 , neg , neg
9799 , neg , neg
9800 , neg , neg
9801 , pos , pos
9802 , pos , pos
9803 , neg , pos
9804 , pos , neg
9805 , neg , neg
9806 , pos , neg
9807 , neg , neg
9808 , pos , neg
9809 , neg , neg
9810 , pos , pos
9811 , pos , pos
9812 , neg , neg
9813 , neg , neg
9814 , neg , neg
9815 , neg , neg
9816 , pos , neg
9817 , pos , neg
9818 , neg , neg
9819 , pos , neg
9820 , neg , neg
9821 , neg , neg
9822 , pos , pos
9823 , pos , pos
9824 , pos , pos
9825 , neg , neg
9826 , pos , pos
9827 , neg , neg
9828 , pos , neg
9829 , pos , pos
9830 , pos , pos
9831 , pos , neg
9832 , pos , pos
9833 , pos , pos
9834 , neg , neg
9835 , pos , pos
9836 , neg , pos
9837 , pos , neg
9838 , pos , pos
9839 , pos , pos
9840 , pos , pos
9841 , neg , neg
9842 , pos , pos
9843 , pos , pos
9844 , pos , pos
9845 , pos , pos
9846 , neg , pos
9847 , neg , pos
9848 , pos , pos
9849 , pos , neg
9850 , pos , pos
9851 , neg , pos
9852 , neg , neg
9853 , pos , pos
9854 , pos , neg
9855 , neg , neg
9856 , pos , neg
9857 , neg , neg
9858 , pos , pos
9859 , neg , neg
9860 , neg , pos
9861 , neg , pos
9862 , pos , pos
9863 , pos , neg
9864 , neg , neg
9865 , neg , neg
9866 , pos , neg
9867 , neg , neg
9868 , neg , pos
9869 , neg , neg
9870 , pos , pos
9871 , pos , pos
9872 , neg , neg
9873 , neg , pos
9874 , neg , neg
9875 , pos , pos
9876 , neg , neg
9877 , neg , neg
9878 , neg , neg
9879 , neg , pos
9880 , neg , neg
9881 , pos , neg
9882 , neg , pos
9883 , pos , pos
9884 , neg , neg
9885 , neg , neg
9886 , neg , pos
9887 , pos , neg
9888 , pos , pos
9889 , pos , pos
9890 , neg , neg
9891 , neg , neg
9892 , neg , neg
9893 , pos , neg
9894 , neg , neg
9895 , neg , neg
9896 , pos , neg
9897 , pos , pos
9898 , neg , pos
9899 , neg , pos
9900 , neg , neg
9901 , neg , pos
9902 , neg , neg
9903 , neg , pos
9904 , neg , neg
9905 , neg , pos
9906 , neg , neg
9907 , pos , pos
9908 , neg , neg
9909 , neg , pos
9910 , neg , neg
9911 , pos , pos
9912 , pos , pos
9913 , neg , neg
9914 , pos , neg
9915 , neg , neg
9916 , neg , pos
9917 , pos , pos
9918 , pos , pos
9919 , neg , neg
9920 , pos , pos
9921 , neg , pos
9922 , neg , pos
9923 , neg , pos
9924 , neg , neg
9925 , pos , pos
9926 , neg , neg
9927 , neg , pos
9928 , pos , pos
9929 , neg , pos
9930 , pos , neg
9931 , neg , neg
9932 , pos , pos
9933 , pos , neg
9934 , pos , pos
9935 , pos , pos
9936 , neg , neg
9937 , pos , pos
9938 , neg , neg
9939 , neg , pos
9940 , pos , neg
9941 , neg , neg
9942 , neg , neg
9943 , neg , pos
9944 , pos , pos
9945 , pos , neg
9946 , pos , pos
9947 , pos , neg
9948 , pos , pos
9949 , pos , pos
9950 , pos , pos
9951 , pos , pos
9952 , pos , pos
9953 , neg , neg
9954 , pos , pos
9955 , neg , pos
9956 , neg , neg
9957 , pos , pos
9958 , neg , neg
9959 , neg , pos
9960 , pos , neg
9961 , neg , neg
9962 , neg , pos
9963 , pos , pos
9964 , pos , pos
9965 , neg , pos
9966 , pos , pos
9967 , neg , pos
9968 , pos , pos
9969 , neg , neg
9970 , pos , neg
9971 , pos , pos
9972 , pos , pos
9973 , pos , neg
9974 , pos , neg
